change dp, A [100, 300], V2=[1,6,13,37,15]
(5, [1, 0, 0, 3, 1]),0.000354051589966
(6, [2, 0, 0, 3, 1]),0.000355005264282
(7, [3, 0, 0, 3, 1]),0.000357866287231
(8, [4, 0, 0, 3, 1]),0.000357151031494
(9, [5, 0, 0, 3, 1]),0.000367164611816
(5, [0, 1, 0, 3, 1]),0.000363111495972
(6, [1, 1, 0, 3, 1]),0.000365018844604
(7, [2, 1, 0, 3, 1]),0.000365972518921
(8, [3, 1, 0, 3, 1]),0.000368118286133
(9, [4, 1, 0, 3, 1]),0.00037407875061
(10, [5, 1, 0, 3, 1]),0.000370979309082
(6, [0, 2, 0, 3, 1]),0.000385046005249
(5, [0, 0, 1, 3, 1]),0.000380039215088
(6, [1, 0, 1, 3, 1]),0.000375986099243
(7, [2, 0, 1, 3, 1]),0.000378847122192
(8, [3, 0, 1, 3, 1]),0.00038480758667
(9, [4, 0, 1, 3, 1]),0.0003821849823
(10, [5, 0, 1, 3, 1]),0.000381946563721
(6, [0, 1, 1, 3, 1]),0.000394105911255
(7, [1, 1, 1, 3, 1]),0.000395059585571
(8, [2, 1, 1, 3, 1]),0.000387907028198
(9, [3, 1, 1, 3, 1]),0.000397920608521
(10, [4, 1, 1, 3, 1]),0.00039005279541
(11, [5, 1, 1, 3, 1]),0.000392913818359
(7, [0, 2, 1, 3, 1]),0.000407934188843
(6, [0, 0, 2, 3, 1]),0.000396013259888
(7, [1, 0, 2, 3, 1]),0.000397205352783
(8, [2, 0, 2, 3, 1]),0.000397920608521
(9, [3, 0, 2, 3, 1]),0.000406980514526
(10, [4, 0, 2, 3, 1]),0.000409126281738
(11, [5, 0, 2, 3, 1]),0.000434160232544
(7, [0, 1, 2, 3, 1]),0.00040602684021
(8, [1, 1, 2, 3, 1]),0.000412940979004
(9, [2, 1, 2, 3, 1]),0.000412940979004
(10, [3, 1, 2, 3, 1]),0.000410079956055
(11, [4, 1, 2, 3, 1]),0.000418186187744
(5, [0, 0, 0, 4, 1]),0.000424861907959
(6, [1, 0, 0, 4, 1]),0.000421047210693
