changegreedy, A=2000
378,0.00163292884827
380,0.00107192993164
382,0.00110101699829
384,0.00112295150757
386,0.00113701820374
388,0.00116109848022
390,0.00119400024414
392,0.00120282173157
394,0.0012321472168
396,0.00125217437744
398,0.00126981735229
400,0.00128197669983
402,0.00130701065063
404,0.00130295753479
406,0.00131821632385
408,0.00133800506592
410,0.00133919715881
412,0.00133919715881
414,0.0013701915741
416,0.00135898590088
418,0.00139594078064
420,0.00139212608337
422,0.00140404701233
424,0.00141501426697
426,0.00143980979919
428,0.00143384933472
430,0.00149202346802
432,0.00152516365051
434,0.00148105621338
436,0.00149297714233
438,0.00151515007019
440,0.00155711174011
442,0.00155806541443
444,0.00151896476746
446,0.00157999992371
448,0.00156807899475
450,0.00159001350403
452,0.00158190727234
454,0.00161194801331
456,0.00161695480347
458,0.0016610622406
460,0.00162506103516
462,0.00166296958923
464,0.00167298316956
466,0.00170397758484
468,0.00168013572693
470,0.00172901153564
472,0.00171303749084
474,0.00175189971924
476,0.0017511844635
478,0.001797914505
480,0.00178694725037
482,0.00181007385254
484,0.00182294845581
486,0.00183296203613
488,0.00184297561646
490,0.00185322761536
492,0.00298190116882
494,0.00187277793884
496,0.00189018249512
498,0.00190401077271
500,0.00191211700439
502,0.000191926956177
504,0.000251054763794
506,0.000306129455566
508,0.000355005264282
510,0.000406980514526
512,0.000475168228149
514,0.000977039337158
516,0.00056791305542
518,0.000619888305664
520,0.000680923461914
522,0.00128412246704
524,0.00078296661377
526,0.000817060470581
528,0.000880002975464
530,0.000923871994019
532,0.00101804733276
534,0.00153112411499
536,0.00155520439148
538,0.00162196159363
540,0.0016040802002
542,0.00171279907227
544,0.00172305107117
546,0.00180292129517
548,0.00191903114319
550,0.00193500518799
552,0.00194382667542
554,0.00197982788086
556,0.00207901000977
558,0.00157713890076
560,0.00216889381409
562,0.00166392326355
564,0.00220894813538
566,0.00177717208862
568,0.00234293937683
570,0.00229620933533
572,0.00242781639099
574,0.00250887870789
576,0.00199413299561
578,0.00200080871582
580,0.00202178955078
582,0.00203919410706
584,0.00208401679993
586,0.00213503837585
588,0.00215697288513
590,0.00220990180969
592,0.00224494934082
594,0.002277135849
