changedb, A=2000
634,0.303386926651
636,0.301296949387
638,0.305222988129
640,0.304867982864
642,0.313002824783
644,0.30571603775
646,0.30683016777
648,0.307209968567
650,0.313958883286
652,0.311879873276
654,0.318758964539
656,0.318382978439
658,0.311627149582
660,0.31181883812
662,0.313293933868
664,0.313386201859
666,0.315407991409
668,0.315114021301
670,0.315992832184
672,0.31897187233
674,0.317773103714
676,0.318690061569
678,0.320234060287
680,0.320943117142
682,0.330247879028
684,0.329256057739
686,0.323255062103
688,0.323840141296
690,0.32630109787
692,0.330772161484
694,0.327675104141
696,0.331759214401
698,0.32913684845
700,0.329504013062
702,0.331041812897
704,0.336396932602
706,0.332629919052
708,0.333186864853
710,0.334444999695
712,0.335823059082
714,0.336301088333
716,0.344618797302
718,0.337707996368
720,0.346011161804
