change dp, A [10000, 10201], V2=[1,6,13,37,150]
(73, [1, 1, 1, 3, 67]),0.0158100128174
(74, [2, 1, 1, 3, 67]),0.0158448219299
(75, [3, 1, 1, 3, 67]),0.0158870220184
(76, [4, 1, 1, 3, 67]),0.0158960819244
(77, [5, 1, 1, 3, 67]),0.0158410072327
(73, [0, 2, 1, 3, 67]),0.0194239616394
(72, [0, 0, 2, 3, 67]),0.020828962326
(73, [1, 0, 2, 3, 67]),0.0158751010895
(74, [2, 0, 2, 3, 67]),0.0158579349518
(75, [3, 0, 2, 3, 67]),0.0159268379211
(76, [4, 0, 2, 3, 67]),0.0157980918884
(77, [5, 0, 2, 3, 67]),0.015830039978
(73, [0, 1, 2, 3, 67]),0.0158309936523
(74, [1, 1, 2, 3, 67]),0.0158269405365
(75, [2, 1, 2, 3, 67]),0.0158460140228
(76, [3, 1, 2, 3, 67]),0.0158438682556
(77, [4, 1, 2, 3, 67]),0.0158491134644
(71, [0, 0, 0, 4, 67]),0.020877122879
(72, [1, 0, 0, 4, 67]),0.0159118175507
(68, [0, 0, 0, 0, 68]),0.0159978866577
